Stock Name,Field,EPS_2009,EPS_2010,EPS_2011,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,EPS_2018,EPS_2019,EPS_2020,BV_2009,BV_2010,BV_2011,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,BV_2018,BV_2019,BV_2020,PE_2009,PE_2010,PE_2011,PE_2012,PE_2013,PE_2014,PE_2015,PE_2016,PE_2017,PE_2018,PE_2019,PE_2020,ROA_2009,ROA_2010,ROA_2011,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,ROA_2018,ROA_2019,ROA_2020,ROE_2009,ROE_2010,ROE_2011,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROS_2009,ROS_2010,ROS_2011,ROS_2012,ROS_2013,ROS_2014,ROS_2015,ROS_2016,ROS_2017,ROS_2018,ROS_2019,ROS_2020,GOS_2009,GOS_2010,GOS_2011,GOS_2012,GOS_2013,GOS_2014,GOS_2015,GOS_2016,GOS_2017,GOS_2018,GOS_2019,GOS_2020,DAR_2009,DAR_2010,DAR_2011,DAR_2012,DAR_2013,DAR_2014,DAR_2015,DAR_2016,DAR_2017,DAR_2018,DAR_2019,DAR_2020,EPS_,BV_,PE_,ROA_,ROE_,ROS_,GOS_,DAR_,EPS_2008,BV_2008,PE_2008,ROA_2008,ROE_2008,ROS_2008,GOS_2008,DAR_2008,EPS_2007,BV_2007,PE_2007,ROA_2007,ROE_2007,ROS_2007,GOS_2007,DAR_2007,EPS_2006,BV_2006,PE_2006,ROA_2006,ROE_2006,ROS_2006,GOS_2006,DAR_2006
DHA,Minerals,6.76,3.54,2.56,1.04,0.56,1.01,2.98,2.94,3.9,4,4.22,6.27,31.65,22.08,20.99,20.64,20.21,20.65,21.55,22.04,23.66,25.55,25.6,28.35,6.51,6.05,3.32,9.33,15.89,13.56,6.91,10.07,8.49,7.55,7.56,7.56,19.5,13.62,10.1,4.29,2.48,4.57,12.12,13.55,15.35,15.96,15.92,20.67,21.24,15.99,12.15,5.03,2.76,4.86,13.8,14.85,16.42,17.31,17.55,22.92,35.25,22.59,17.57,7.27,5.7,8.86,22.31,25.32,22.8,22.46,20.49,25.69,41.69,37.67,37.16,19.08,13.45,18.02,29.73,28.24,31.15,30.96,30.82,31.82,8.21,14.79,16.83,14.76,10.35,5.89,12.17,8.75,6.47,7.84,9.26,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHM,Minerals,,,,,0.8,0.13,0.2,0.46,0.12,0.19,0.13,-2.53,,11.71,10.21,11.35,11.46,11.67,11.88,11.55,11.35,11.27,11.4,8.85,,,,,9.75,40.77,29,16.87,31.25,27.37,29.15,-3.74,,3.83,0.6,18.39,5.42,0.88,1.51,2.11,0.61,1.03,0.82,-15.31,,11.45,1.03,25.26,6.94,1.14,1.88,4.39,1.16,1.78,1.31,-28.57,,2.4,1.35,6.08,3.1,0.64,1.1,1.41,0.37,0.7,0.42,-8.74,,27.28,11.1,9.13,6.91,5.86,4.63,4.24,6.29,5.55,4.48,3.39,,66.53,41.6,27.19,20.95,22.66,19.69,51.89,48,42.08,37.13,46.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSB,Minerals,8.4,11.52,10.66,5.55,4.56,5.34,4.42,7.84,5.04,5.45,5.29,4.38,28.18,35.36,39.65,24.83,25.38,27.01,22.37,26.04,16.21,18.99,23.97,23.65,,5.38,3.48,3.35,4.67,5.92,8.44,8.33,8.47,4.68,3.21,7.25,19.18,21.13,18.29,13.08,12.06,12.4,14.94,21.13,19.38,11.29,8.34,8.35,30.67,33.27,28.29,20.22,18.23,19.91,23.94,33.77,36.55,32.04,25.6,20.69,26.82,25.28,21.66,15.87,15.46,15.51,16.99,24.21,25.34,27.99,25.12,24.78,40.93,38.81,37.67,34.18,35.66,35.2,35.75,40.38,39.68,48.81,48.77,45.61,37.45,36.51,35.33,35.3,33.82,37.69,37.61,37.43,46.98,64.75,67.44,59.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCM,Minerals,1.02,0.29,2.6,4.44,0.4,-1.95,0.14,-0.36,0.08,-0.01,,-0.04,9.47,10.27,12.87,13.35,10.93,8.87,9.38,9.02,9.1,9.09,8.93,9.2,,,13.88,4.03,17.75,-2.67,15,-4.42,12.5,-67,,-23.75,1.16,2.77,19.57,15.48,3.48,-20.78,1.84,-3.89,0.8,-0.06,0.93,-0.44,10.72,2.79,20.16,16.27,3.49,-21.95,1.86,-3.99,0.85,-0.06,0.94,-0.49,10.89,37.12,49.87,48.84,30.78,-858.45,15.08,-14.55,9.03,-3.09,397.1,-3.53,24.45,56.71,60,53.71,15.14,0.97,0.39,-13.19,0.8,1.92,1.92,1.08,89.22,0.84,2.92,4.85,0.2,1.47,1.4,2.42,5.67,2.22,1.36,9.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,Minerals,3.79,2.9,0.54,0.4,0.16,-3.9,0.25,0.63,2.45,0.72,1.14,0.85,16.59,18.95,16.67,16.94,16.52,12.51,13.02,,14.88,13.3,13.64,13.76,,,10,10,28.12,-1.36,24.8,17.78,5.69,16.67,10.96,12.35,6.9,7.11,1.13,0.92,0.39,-10.9,0.72,,9.6,2.79,3.11,2.51,18.28,15.33,3.14,2.33,0.97,-29.59,1.84,,15.59,5.17,7.95,5.84,9.3,9.06,3.89,2.58,0.85,-25.12,1.08,1.98,9.62,4.24,2.73,3.23,18.63,19.32,29,3.3,13.59,-10.19,11.44,12.31,21.1,20.41,9.56,12.01,62.25,53.61,64.02,60.45,59.74,63.15,60.88,,38.43,45.99,60.87,57.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNC,Minerals,10.41,9.26,10.67,9.33,8.66,8.12,8.64,10.35,8,7.8,5.15,4.65,14.81,14.11,19.27,19.11,21.22,19.02,21.7,24.76,21.39,15.19,13.34,12.99,,4.43,2.84,3.84,5.54,5.91,6.66,7.04,6.44,6.09,9.44,8.43,48.57,49.37,39.27,35.25,29.89,30.04,30.87,37.39,33.48,41.57,31.72,29.18,60.91,63.56,52.61,46.35,38.71,41.67,43.25,45.43,40.65,55.8,41.96,38.89,36.81,30.47,31.76,27.72,22.28,26.58,24.31,31.67,32.76,32.2,23.76,27.58,43.77,40.95,41,32.9,30.16,35.84,36.61,42.1,41.56,34.13,29.95,37,20.27,22.32,25.36,23.94,22.8,27.9,28.63,17.69,17.63,25.5,24.4,24.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVD,Minerals,5.86,4.19,5.09,6.29,7.53,7.99,4.1,0.22,0.07,0.4,0.22,0.28,20.1,24.77,29.46,33.22,35.71,37.87,38.18,35.16,35.15,36.14,33.14,33.31,11.52,12.65,6.52,5.96,8.1,8.07,6.46,94.09,333.57,36.5,68.41,57.86,6.59,5.85,5.76,6.93,8.76,10.86,6.68,0.56,0.21,0.94,0.65,0.89,19.25,16.9,17.2,18.9,19.14,22.04,12.51,0.96,0.34,1.43,0.97,1.33,19.88,11.67,11.58,11.08,12.67,12.12,11.52,2.41,1.16,3.6,9.77,3.57,30.27,22.98,22.34,22.49,22.42,19.73,22.09,15.53,4.93,7.22,10.5,6.29,65.68,65.26,66.43,63.23,54.09,49.74,46.6,41.77,38.25,34.06,33.14,32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNT,Minerals,0.5,1.7,0.05,-0.3,-2.28,0.57,0.84,0.06,0.15,-75.72,,-0.1,10.53,12.23,12.28,11.98,9.7,10.27,11.78,10.65,10.8,10.85,10.61,10.51,,13.41,102,-8.33,-1.32,7.54,29.76,37.5,17.73,-0.03,,-18.4,2.1,11.97,0.23,-1.43,-14.59,3.27,3.67,0.39,1.02,-0.53,0.97,-0.76,2.52,13.91,0.38,-2.48,-23.53,5.55,7.1,0.57,1.39,-0.7,1.09,-0.99,33.4,19.38,0.64,-6.46,-125.41,22.64,9.51,1.77,2.68,-3.59,2.82,-20.71,62.48,13.67,4.82,0.97,0.74,1.46,0.51,8.34,6.53,14.77,5.15,4.88,16.77,13.8,38.03,41.15,37.66,37.34,48.31,31.33,26.55,24.3,10.92,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP,Energy,1.89,0.07,-0.7,1.1,0.53,0.07,-0.27,0.5,1.18,1.52,,,11.76,10.79,10.09,11.19,11.14,10.42,10.08,10.38,11.36,12.89,,12.77,7.41,122.86,-5,4.09,13.58,95.71,-15.19,7.68,6.07,4.08,,,3.87,0.15,-1.7,3.05,1.48,0.2,-1.35,2.17,3.28,3.62,,1.17,14.19,0.67,-6.91,9.86,4.75,0.48,-2.7,4.86,10.4,11.83,,3.81,2.43,0.08,-0.63,1.26,0.61,0.1,-0.77,1.41,2.31,2.16,,0.95,11.82,9.43,8.72,8.16,8.48,9.05,18.43,19.22,21.41,18.94,,4.83,71.29,75.59,73.49,66.95,66.98,56.45,49.92,55.28,68.5,69.36,,69.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTP,Energy,,,1.05,2.28,0.92,2.21,1.59,,1.52,2.27,3.02,1.34,13.15,14.01,14.66,15.96,15.91,17.16,17.54,18.29,18.54,,20.29,20.22,,,2.76,2.68,14.57,6.65,6.92,,7.89,5.02,4.07,10.86,2.51,1.08,3.11,6.16,3.03,6.75,4.82,6.63,3.1,7.27,9.13,4.73,6.43,2.64,7.07,14.02,5.72,12.87,9.05,10.83,8.22,,14.86,6.62,3.53,1.1,2.61,9.46,4.86,6.35,5.24,7.19,3.77,12.4,9.63,10.79,13.33,10.97,10.56,13.73,7.09,6.23,10.33,7.51,5.06,11,10.38,12.48,60.97,58.99,55.98,56.05,46.92,47.53,46.77,38.76,62.29,,38.56,28.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
